#;name of the book;author;;move?;check?;released?;year;page;category;read?;reading?;tbr?;reread?;shelf;location;Info;image;#;;
3404;Duygusal Tukenmislikte Oz Sefkatin Gucu - Zihinsel ve Duygusal Yorgunlugunuzu Asmaniza Destek Olacak Uygulamalar;Kristin Neff;Duygusal Tukenmislikte Oz Sefkatin Gucu - Zihinsel ve Duygusal Yorgunlugunuzu Asmaniza Destek Olacak Uygulamalar. Kristin Neff;yes;;;2025;272;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Duygusal%20Tukenmislikte%20Oz%20Sefkatin%20Gucu%20-%20Zihinsel%20ve%20Duygusal%20Yorgunlugunuzu%20Asmaniza%20Destek%20Olacak%20Uygulamalar%20Kristin%20Neff;https://www.google.com/search?q=Duygusal%20Tukenmislikte%20Oz%20Sefkatin%20Gucu%20-%20Zihinsel%20ve%20Duygusal%20Yorgunlugunuzu%20Asmaniza%20Destek%20Olacak%20Uygulamalar%20Kristin%20Neff&tbm=isch;2404;2415;
3403;Butun O Yalniz Insanlar - Herkes Yalniz, Kimse Bundan Soz Etmiyor;Sam Carr;Butun O Yalniz Insanlar - Herkes Yalniz, Kimse Bundan Soz Etmiyor. Sam Carr;yes;;;2026;260;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Butun%20O%20Yalniz%20Insanlar%20-%20Herkes%20Yalniz,%20Kimse%20Bundan%20Soz%20Etmiyor%20Sam%20Carr;https://www.google.com/search?q=Butun%20O%20Yalniz%20Insanlar%20-%20Herkes%20Yalniz,%20Kimse%20Bundan%20Soz%20Etmiyor%20Sam%20Carr&tbm=isch;2403; ;
3402;Harika Hissetmek - Depresyon ve Kaygı Icin Yenilikci Bir Tedavi;David Burns;Harika Hissetmek - Depresyon ve Kaygı Icin Yenilikci Bir Tedavi. David Burns;yes;;;2026;680;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Harika%20Hissetmek%20-%20Depresyon%20ve%20Kayg%C4%B1%20Icin%20Yenilikci%20Bir%20Tedavi%20David%20Burns;https://www.google.com/search?q=Harika%20Hissetmek%20-%20Depresyon%20ve%20Kayg%C4%B1%20Icin%20Yenilikci%20Bir%20Tedavi%20David%20Burns&tbm=isch;2402;released?;
3401;Kotu Feminist;Roxane Gay;Kotu Feminist. Roxane Gay;yes;;;2019;416;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Kotu%20Feminist%20Roxane%20Gay;https://www.google.com/search?q=Kotu%20Feminist%20Roxane%20Gay&tbm=isch;2401;271;
3400;Bir Yuva Olarak Beden - Bedene Donus Pratikleri;Karyl McBride;Bir Yuva Olarak Beden - Bedene Donus Pratikleri. Karyl McBride;yes;;;2026;160;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Bir%20Yuva%20Olarak%20Beden%20-%20Bedene%20Donus%20Pratikleri%20Karyl%20McBride;https://www.google.com/search?q=Bir%20Yuva%20Olarak%20Beden%20-%20Bedene%20Donus%20Pratikleri%20Karyl%20McBride&tbm=isch;2400; ;
3399;Ne Cok Esya - Insan Turunun Aletleri Kesfetmesi, Anlami Icat Etmesi ve Hep Daha Fazla Sey Uretmesi;Chip Colwell;Ne Cok Esya - Insan Turunun Aletleri Kesfetmesi, Anlami Icat Etmesi ve Hep Daha Fazla Sey Uretmesi. Chip Colwell;yes;;;2026;320;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Ne%20Cok%20Esya%20-%20Insan%20Turunun%20Aletleri%20Kesfetmesi,%20Anlami%20Icat%20Etmesi%20ve%20Hep%20Daha%20Fazla%20Sey%20Uretmesi%20Chip%20Colwell;https://www.google.com/search?q=Ne%20Cok%20Esya%20-%20Insan%20Turunun%20Aletleri%20Kesfetmesi,%20Anlami%20Icat%20Etmesi%20ve%20Hep%20Daha%20Fazla%20Sey%20Uretmesi%20Chip%20Colwell&tbm=isch;2399; ;
3398;Hepsi Senin Kuruntun;Misty Pratt;Hepsi Senin Kuruntun. Misty Pratt;yes;;;2025;288;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Hepsi%20Senin%20Kuruntun%20Misty%20Pratt;https://www.google.com/search?q=Hepsi%20Senin%20Kuruntun%20Misty%20Pratt&tbm=isch;2398; ;
3397;Bitkilerin Ruhu - Modern Bilimden Kadim Bilgiye Sifa;Robin Wall Kimmerer;Bitkilerin Ruhu - Modern Bilimden Kadim Bilgiye Sifa. Robin Wall Kimmerer;yes;;;2022;424;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Bitkilerin%20Ruhu%20-%20Modern%20Bilimden%20Kadim%20Bilgiye%20Sifa%20Robin%20Wall%20Kimmerer;https://www.google.com/search?q=Bitkilerin%20Ruhu%20-%20Modern%20Bilimden%20Kadim%20Bilgiye%20Sifa%20Robin%20Wall%20Kimmerer&tbm=isch;2397; ;
3396;Hafizayi Donusturmek - Bir Norobilimcinin Gecmisi Degistirme Yolculugu;Steve Ramirez;Hafizayi Donusturmek - Bir Norobilimcinin Gecmisi Degistirme Yolculugu. Steve Ramirez;yes;;;2026;304;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Hafizayi%20Donusturmek%20-%20Bir%20Norobilimcinin%20Gecmisi%20Degistirme%20Yolculugu%20Steve%20Ramirez;https://www.google.com/search?q=Hafizayi%20Donusturmek%20-%20Bir%20Norobilimcinin%20Gecmisi%20Degistirme%20Yolculugu%20Steve%20Ramirez&tbm=isch;2396; ;
3395;Arzunun Evrimi ve Insanlarin Cinsel Secim Stratejileri;David M. Buss;Arzunun Evrimi ve Insanlarin Cinsel Secim Stratejileri. David M. Buss;yes;;;2025;436;category?;read?;-;📋;reread?;C-4;homelibrary;https://www.google.com/search?q=Arzunun%20Evrimi%20ve%20Insanlarin%20Cinsel%20Secim%20Stratejileri%20David%20M.%20Buss;https://www.google.com/search?q=Arzunun%20Evrimi%20ve%20Insanlarin%20Cinsel%20Secim%20Stratejileri%20David%20M.%20Buss&tbm=isch;2395; ;
